city,Unique Users,country,continent,region,sub_continent,metro
,1,,,New South Wales,,
,69,,,North Santander,,
,1,,,Ontario,,
,1,,,Provence-Alpes-Cote d'Azur,,
,10,,,Putumayo,,
,1,,,Quebec,,
,35,,,Quindio,,
,1,,,Rhineland-Palatinate,,
,63,,,Risaralda,,
,15,,,San Andres and Providencia,,
,251,,,Santander,,
,4,,,South Kalimantan,,
,1,,,State of Mato Grosso do Sul,,
,1,,,State of Paraiba,,
,1,,,State of Sao Paulo,,
,35,,,Sucre,,
,1,,,Texas,,
,55,,,Tolima,,
,600,,,Valle del Cauca,,
,1,,,Vasternorrland County,,
,1,,,West Java,,
,1,,,,Australasia,
,1,,,,Central America,
,6,,,,Northern America,
,2,,,,Northern Europe,
,5292,,,,South America,
,7,,,,Southeast Asia,
,25,,,,Southern Europe,
,5,,,,Western Europe,
,5333,,,,,(not set)
,1,,,,,Atlanta GA
,1,,,,,Dallas-Ft. Worth TX
,1,,,,,Miami-Ft. Lauderdale FL
,1,,,,,Orlando-Daytona Beach-Melbourne FL
