name,Unique Users
CO_POSPAGO_COL-AUTOMATICO-PORTABILIDAD-B2C_23-05-03_SEM_VNT_AON_RMKT_BRAND,5
CO_POSPAGO_COL-F2-MAG-ESCALERA-WINBACK-B2C_24-11-01_SMS_VNT_0_NA,5
CO_POSPAGO_COL-F2-MAG-ESCALERA-NAVIDAD-PORTABILIDAD-TIGO-B2C_24-11-01_SMS_VNT_0_NA,5
CO_POSPAGO_COL-F2-MAG-PARTIDO-COL-ECU-2-TIPIFICACIONES-B2C_24-11-01_SMS_VNT_0_NA,5
CO_HOGAR_COL-FIBRA-AUTOMATICO-B2C_24-01-18_SEM_VNT_AON_ABT_CATEGORY,4
CO_CONVERGENCIA_PUB-NAVIDAD-YT-OFERTA-B2C_24-11-08_VID_TRF,4
CO_HOGAR_COL-VENTA-AUTOMATICA-MAGENTO-B2C_23-07-01_PMAX_VNT_AON_GN,4
CO_POSPAGO_COL-F2-C2C-PORTABILIDAD-B2C_24-11-01_SMS_VNT_0_NA,4
CO_POSPAGO_COL-OFERTAS-AVATAR-MOVIL-B2C_23-11-01_DIS-DIS_LDS-WEB,4
CO_POSPAGO_COL-OFERTA-INFLUENCIADORES-SMARTLY-FB-B2C_24-06-14_SOC_TRF,4
CO_TERMINALES_COL-OFERTAS-IS-B2C_24-01-01_SEM_TRF_AON_ABT_CATEGORY,4
CO_POSPAGO_COL-VENTA-AUTOMATICA-MOVIL-B2C_24-02-20_DIS-DGEN_VNT,4
CO_POSPAGO_COL-OFERTAS-VAC-B2C_23-10-25_VID-ACT_LDS-WEB,4
CO_POSPAGO_COL-OFERTAS-TEST-B2C_23-10-01_VID-ACT_TRF,4
EXTENSIONES,3
CO_POSPAGO_COL-ASISTIDA-PLANES-B2C_23-07-10_SEM_LDS-WEB_AON_ABT_CATEGORY,3
CO_POSPAGO_COL-F3-SP-TIPIFICACIONES-B2C_24-11-01_SMS_VNT_0_NA,3
CO_POSPAGO_COL-OFERTA-CO-B2C_23-11-01_DIS_TRF,3
CO_POSPAGO_COL-OFERTAS-TEST-B2C_23-12-01_PMAX_LDS-WEB_AON_ABT,3
CO_TERMINALES_COL-FABRICANTE-MOTOROLA-B2C_24-07-12_DIS-DGEN_TRF,3
CO_TERMINALES_COL-FABRICANTE-MOTOROLA-B2C_24-10-11_DIS-DGEN_TRF,3
CO_PREPAGO_COL-P-SiempreGanas_OFERTA_NAVIDAD-B2C_23-11-14_SMS_VNT_0_NA,3
CO_TERMINALES_COL-FABRICANTE-HONOR-B2C_24-10-11_DIS-DGEN_TRF,3
CO_TERMINALES_COL-OFERTA-GENERICA-B2C_24-08-05_VID-ACT_TRF,3
CO_POSPAGO_COL-F3-MAG-ESCALERA-PORTABILIDAD-CAPTACION-B2C_24-09-04_SMS_VNT_0_NA,3
CO_POSPAGO_COL-F2-MAG-ESCALERA-V1-PORTABILIDAD-TIGO-B2C_24-10-28_SMS_VNT_0_NA,3
CO_POSPAGO_COL-F3-MAG-PARTIDO-COL-ECU-1-BQ-B2C_24-11-01_SMS_VNT_0_NA,3
CO_POSPAGO_COL-F3-MAG-ESCALERA-V1-PORTABILIDAD-TIGO-B2C_24-11-01_SMS_VNT_0_NA,3
